abate v.减轻，减退；废除
deceive v.欺骗，蒙蔽
decent a.体面的，像样的,相当好的;正派的，得体的
deception n.欺骗，蒙蔽；骗术
decibel n.分贝
deciliter (decilitre)n.分升，十分之一升
decimal a.小数的，十进制的
deck n.甲板；桥面；层面
decolourize v.使…脱色；将…漂白
decompensate v.代偿失调
decompose v.分解，使腐败，使腐烂
decorate v.装饰，装潢，布置
decubitus n.褥疮
dedicate v.奉献，献身,致力
deduce v.演绎，推演,推断
deduction n.推论；演绎,扣除
deem v.认为，相信
defeat v.／n.战胜，挫败
defecate v.澄清，净化；排粪，通大便
defect n.缺点，缺陷
defence n.防御，保卫；(pl.)防务，工事
defend v.保卫，防守；辩护；答辩
defense n.防御，保卫；防务(pl.)防御工事；辩护
defensive a.防御的，保卫的n.防御,守势
deference n.听从；敬重
deferent a.输送的;输出的;输精的
defervescence n.退热
deficiency n.缺乏，不足；营养缺乏症
deficit n.短缺；赤字
definite a.明确的，确定的，限定的
definition n.定义，解释；明确性
deflate v.排放…(空)气；解除气胀
deflection n.偏离；偏转
deform v.损坏…的形状，使…变形
deformation n.形状损坏；变形；畸形
deformity n.变形，畸形；畸形的人
defy v.向…挑战；公然对抗，蔑视
degenerate v.蜕化；变质；变性
degradation n.降级；低落；退化；陵削；降解；衰变
degression n.下降；递减
dehydration n.脱水
delegate n.代表
deleterious a.(对身心)有害的；有毒的
deliberate a.深思熟虑的，审慎的，蓄意的v.仔细考虑
deliberately ad.审慎地；故意地，蓄意地
delicate a.纤弱的，娇嫩的；易碎的；优美的，精美的，精致的
delineate v.描绘；叙述
delitescence n.潜伏期；潜伏状态；(炎症)突然消退
delusion n.幻想；妄想；错觉
dementia n.痴呆
democracy n.民主；民主政体
democratic a.民主的，民主主义的;民主政体的
demography n.人口统计学
demonstrate v.表明；演示；论证，证明
demonstration n.表明，示范；论证；示威
denial n.否认，拒绝；拒绝相信
denominate v.给…命名；称呼…为
denote v.指示；意味着
denounce v.斥责；告发，揭发；废除
dense a.密的，稠密的，浓厚的
density n.密度，密集；稠密
dental a.牙齿的；牙科的
dentistry n.牙科学
denture n.一副牙齿；假牙；全口假牙
deodorant a.除臭的n.除臭剂
depart v.出发，离开
departure n.出发，离开
dependant n.受赡养者；侍从
depict v.描绘，描述
depicture v.描述，描绘；想象
depilate v.拔去…毛；脱去…毛
deplete v.弄空；排除，减轻；减少…体液；放去…的血
deposit v.存放，寄存；储蓄；沉淀
n.存款；押金；沉淀 
deposition n.免职，罢官；作证；沉淀；沉淀物
depot n.兵站；仓库
depravity n.堕落；腐败
depreciation n.价值低落,贬值,蔑视,贬低
depress v.压抑，降低
depression n.消沉；萧条；抑郁症
deprive v.夺去，剥夺，使丧失
depurate v.净化，提纯
deputy n.代理人，代表；副…
derivation n.引出；起源，由来;衍生,衍生物
derive v.取得;派生出;引申出
derma n.真皮
dermatitis n.皮炎
dermatology n.皮肤病学
decendant n.子孙，后代
deserve v.应受，值得
designate v.指明，标示；选派，指定；把…叫做
desirable a.合乎需要的，令人满意的
desolate a.荒凉的，荒芜的；孤独的，凄凉的v.使荒芜，使孤寂
despair v.／n.失望，绝望
desperate a.绝望的，危急的；不顾一切的，铤而走险的
despise v.轻视，蔑视
destination n.目的地；目标
destine v.命定，注定，预定，指定
destiny n.命运
destitute a.没有的；缺乏的
destruction n.破坏，毁灭
destructive a.破坏性的，毁灭性的，危害的
detach v.分开，分离，拆开；分遣
detachment n.分开，拆开，分离；分遣；分遣队
detect v.察觉，发现；探测
detection n.察觉，发现；探测;检波
detective a.侦探的，探测的n.侦探
detention n.拘留，扣押；阻留，滞留
detergent a.使清洁的n.清洁剂；去垢剂
deteriorate v.恶化；变坏；退化
determination n.决心，决定
determine v.决定，决心；确定,测定
detoxify v.解毒，除去…毒物,去除…放射性沾染
devalue v.降低价值；贬值
deviation n.背离，偏离
device n.设备，装置；方法，设计
devil n.魔鬼
devise v.设计，想出
devoid v.缺乏，没有
devotion n.献身；忠诚；热爱
devour v.吞没；狼吞虎咽地吃
dew n.露水，露
dextral a.右边的；用右手的；右旋的
diabetes n.糖尿病
diagram n.图解，图表
dial n.标度盘，钟面，拨号盘v.拨号，打电话
dialect n.方言；行话
dialectical a.辩证的；辩证法的
dialysis n.透析，渗析；分离,分解
diaper n.尿布
diaphoresis n.发汗；出汗
diaphragm n.膈，膈膜
diarrhea n.腹泻
diastole n.(心)舒张期
dictate v.听写，口授，口述
dictation n.口授笔录，听写
diction n.措词；词令
diffuse v.扩散；渗出
digest v.消化n.摘要
digital a.数字的
dignity n.尊贵，高贵，庄严，尊严
dilate v.膨胀，扩大
dilemma n.窘境，进退两难
diligence n.勤奋，努力
diligent a.勤奋的，孜孜不倦的
dilute v.冲淡；稀释
dim a.暗淡的，模糊的，朦胧的v.(使)变暗淡
dimension n.尺寸；面积；容积
dimensional a.尺寸的，…维的
diminish v.缩小，减少，递减
dine v.吃饭，进餐
dioxide n.二氧化碳
dip v./n.蘸,浸
diphtheria n.白喉
diploma n.文凭，证书
diplomatic a.外交上的；有策略的
directory n.姓名地址录；(美)董事会
a.指导(性)的 
disappoint v.令失望，使扫兴
disaster n.灾害，灾祸，灾难
disastrous a.灾难性的；造成惨重损失的
disc n.圆盘，盘状物；唱片v.把…灌成唱片
discard v.丢弃；遗弃；垫牌n.抛弃，被弃的物(或人)；垫牌
discern v.看出；辨出；觉察，了解；辨别
discharge v.／n.卸货；排出；释放;出院
discipline n.纪律；训练；学科v.训练；惩诫
disclose v.揭开，泄露
disconnect v.分离，断开；拆开
discontent n.不满意，不满的人a.不满的v.令(人)不满
discount n.／v.折扣
discourse n.讲话，演讲；论说；论文
discrepancy n.差异；不一致，不符合
discrete a.分离的；稀疏的
discriminate v.区别，辨别，有差别地对待
discrimination n.辨别，区别；识别力，辨别力；不公平待遇，歧视
disdain v.n.轻视；不屑一顾
disgorge v.吐出，呕吐
disgrace n.失宠；耻辱；丢脸v.玷污；使丢脸
disguise n.／v.假装，伪装
disgust n.恶心，厌恶v.使恶心，使厌恶
disincentive a.阻止的，抑制的n.(在生产等方面)起抑制作用的行动(或措施)
disinfect v.杀菌，消毒
disintegrate v.崩溃，分裂；分解；蜕变；衰变
dislocation n.关节脱位，脱臼
dismal a.忧郁的
dismay n.灰心惊愕，沮丧v.使惊愕，使沮丧；使灰心
dispatch v.派遣，发送；调度，调遣n.急件，快信
dispensary n.药房
dispense v.分配；配(方)；发(药)
disperse v.使疏开；使分散，解散；散布，传播a.分散的，弥散的
disposable a.可处理的；可随意使用的；用一次就丢掉的
disposal n.配置，布置；处理，处置；卖掉，让与；控制
dispute v.争论，辩驳n.争论，争端
disrupt v.分裂；破坏
dissect v.分割；解剖
disseminate v.散播,传播,散布
dissert v.论述,写论文
dissertation n.专题论述；(学位)论文
dissipate v.驱散；浪费，挥霍；放荡；酗酒
dissolve v.溶解,融化;解除,解散,取消
dissuade v.劝阻，阻止
distal a.远侧的；末梢的；远中的
distend v.扩张；肿胀
distil(l) v.蒸馏；滴下
distort v.歪曲，扭曲；变形
distract v.分散，分心；弄昏，迷惑，使发狂
district n.区，地区，行政区
disturb v.扰乱，妨碍；打扰，使不安
ditch n.沟，渠，水沟
dive v.／n.潜水；跳水；俯冲
diver n.跳水员，潜水员
diverge v.分叉；分歧；离题；使…岔开，使转向
diverse a.不一样的；多种多样的;多变化的；形形色色的
diversity n.差异；多样性；变化
divert v.转移；转向；转换
divine a.神的，神圣的
division n.分，分裂；除法；部门
divorce v.／n.离婚，离异；脱离，分离
dizzy a.眩晕的，头晕眼花的
dock n.船坞，码头v.入坞，靠码头
doctrine n.教义，主义，学说
document n.文件，文献
documentary a.文件的n.纪录片
doll n.玩偶，玩具娃娃
domain n.范围，领域
domestic a.家里的，家庭的；国内的，国产的；驯养的
dominant a.支配的，统治的；占优势的；显性的n.主因，要素，主要的人(或物)；显性基因
dominate v.支配，统治；俯视；处于优势地位；高耸
donate v.捐献，赠送
donkey n.驴
donor v.捐赠者；供血(输血)者
doom n.厄运；毁灭v.注定，命定
dorsum n.背，背部；背状部分
dove n.鸽子
downpour n.倾盆大雨
doze v.打瞌睡；在瞌睡中度过n.瞌睡，打盹
draft n.草稿，草案，起草，草拟
drain n.排水管，导管；排(水)，排液；引流
drainage n.排水，排水法；排水设备(或系统)；流域；导液法；引流法
drama n.剧本；戏剧；戏剧艺术(或事业)
dramatic a.戏剧的，戏剧性的；显著的
drastic a.激烈的，严厉的n.剧泻药；剧药
draught n.拉，牵引，拖；一网（饮，吸，阵)；顿服药量，通风，v.起草，设计
drawback n.弊端，障碍；退款，退税
drawer n.抽屉；拖曳者；制图员；开票人
dread n./v.恐惧，害怕，担心
dreadful a.可怕的；糟透的；令人敬畏的
drench v.浸透；淋透
drift v.／n.漂，漂流
drill v.／n.练习，操练，训练；钻孔，打孔
drizzle v.下细雨
droplet n.小滴；飞沫
dropout n.中途退出；退学
dropsy n.水肿病(浮肿病)
drought n.旱灾，干旱
drown v.淹死，淹没
drowsy a.昏昏欲睡的；催眠的
dual a.双重的；二元的
due a.应付的，到期的；应有的，充分的n.应得物，当然权利
duke n.公爵
dull a.愚笨的，迟钝的；阴暗的；沉闷的；单调的v.使迟钝，使阴暗，减轻
dumb a.哑的，无声的
dump n.堆垃圾的地方；垃圾堆v.倾倒垃圾
dumpling n.饺子
duodenum n.十二指肠
duplicate n.复制品，副本,复制，复写
dwarf n.矮子,侏儒
dynamic a.动力的；能动的；机能上的；有生气的
dynamical=dynamic 
dynamics n.力学，动力学,动力,原动力；动态
dynasty n.王朝；朝代
dysentery n.痢疾
dysfunction n.功能障碍,功能不良/死调
dyspepsia n.消化不良
dysphagia n.吞咽困难
dysplasia n.发育不良,发育异常
dyspnea n.呼吸困难
dystrophy n.营养不良,营养障碍
eagle n.鹰
Easter n.复活节
ebb n.v.落潮；退潮
eccentric a.古怪的，偏执的,不同圆心的
eclipse n.日蚀，月蚀v.把…遮暗
ecological a.生态的；生态学的
ecology n.生态学
ecstasy n.狂喜；出神，入迷
ectopic a.异位的
eczema n..湿疹
edema n.水肿(浮肿)
edible a.可以吃的，食用的n.食品
edit v.编辑，编纂
edition n.版，版本，版次
editor n.编辑，编者
editorial n.社论a.编辑的
efferent a.传出的
efficacy n.功效；效验
efficiency n.效率；功效，效能，实力
efficient a.效率高的，有能力的
effluent a.发出的；流出的
effort n.努力；努力的成果
effusion n.流出；渗出液
Egypt n.埃及
Egyptian a.埃及的；埃及人的n.埃及人；埃及语
ejaculate v.突然喊出,射出(液体)
eject v.逐出;喷射;吐出,排出
elaborate a.详尽的，精心的，精巧的
v.详细说明，用心做 
elapse v.(时间)过去，消逝n.(时间的)过去，消逝
elastic a.弹性的；有弹力的；灵活的；可伸缩的；易顺应的n.橡皮带，松紧带
elbow n.肘，弯头，弯管v.用肘挤
electrician n.电工；电学家
electricity n.电，电流，电学
electrify v.使充电；使电气化;使触电；使震惊；使兴奋
electrolyte n.电解质
electromagnetic a.电磁的
electronics n.电子学
elegant a.优雅的，优美的；精致的
elevate v.提高，抬高，举起
elevation n.高度；仰角；海拔;提高;高地
elicit v.得出，引出，诱出
eligible a.合格的；适宜的
eliminate v.排除，消除，消灭
elimination n.排除，消除，消灭
elongate v.拉长；伸长；延长
eloquence n.雄辩，口才
elucidate v.阐明；说明，解释emaciatev.衰弱；消瘦
emancipate v.解放
embark v.上船，上飞机；从事,开始搞
embarrass v.使窘迫，使困惑，使为难
embassy n.大使馆
embed v.嵌入；包埋
embody v.体现；使具体化；包含，收录
embolism n.栓塞
embolus n.栓子
embrace v.／n.抱,拥抱,包括,包含
embryology n.胚胎学
emigrant a.移居的，移民的n.移居外国的人，移民
emigrate v.移居国外，移民
emigration n.移居；移民出境;(总称)移民
eminence n.卓越，显赫；高地，高处；名家
eminent a.著名的，杰出的；突出的，优良的
emission n.散发，发射；发出物，发射物
emit v.散发，发射；发表；发行
emotion n.情感，情绪
emotional a.感情上的；情绪上的;易激动的；激动人心的
emperor n.皇帝
emphasis n.强调，重点
emphasize v.强调，着重
emphysema n.(肺)气肿
empire n.帝国
empirical a.经验主义的；以经验为根据的
enamel n.搪瓷；(牙齿的)珐琅质
encode v.译成电码(密码)
encounter v.／n.遇到，遭遇
encumber v.妨碍，阻碍；阻塞；牵累
encyclopedia n.百科全书；某科全书
encyst v.包在囊内
endanger v.危害，危及
endeavour v.／n.努力，尽力，力图
endemic a.地方性的；地方病的
endermic a.经皮的，皮下的
endocrine a.内分泌的
endogenic a.内源的
endorse v.背签；批注
endoscope n.内镜
endotoxin n.内毒素
endow v.资助；捐赠；赋予
energetic a.精力旺盛的
energy n.精力，气力，活力；能，能量
enforce v.实行，执行，强制
engage v.雇用，聘用；使订婚；使从事，使忙于
engagement n.订婚,婚约,约定,约会
engrave v.刻上；铭记
engross v.使全神贯注
enhance v.提高，增加;增强;提高…的价值
enlighten v.启发，启蒙，教导
enormous a.庞大的，巨大的
enough a./n.足够的,充足的ad.足够地
enroll v.登记，编人，招收
ensue v.接着发生；结果是
ensure v.确保，保证
entail v.使承担;把(疾病)遗传给；引起；伴有
enterprise n.事业，企业；事业心，进取心
entertain v.招待，款待;使欢乐,使娱乐
entertainment n.招待，款待,表演会,文娱节目
enthusiasm n.热心，热情，积极性
